Title,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,
12 Angry Men (1957),,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,8,8,8,6,6,6,6,7,7,8,7,7,5,6,5,5,5,5,5,5,5
A Close Shave (1995),,7,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
American Beauty (1999),,,,,,,,,2,2,7,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Beautiful Thing (1996),,,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Blade Runner (1982),9,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Casablanca (1942),8,6,9,5,5,5,5,5,5,5,5,5,7,8,7,6,6,7,7,7,7,5,6,7,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Citizen Kane (1941),10,11,11,6,6,6,8,6,6,6,4,4,5,5,5,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Dr. Strangelove (1964),,,,9,9,10,11,11,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Fight Club (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Il Buono il brutto il cattivo. (1966),,,,,,,,,,,,,,,,,,,,,,9,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,6,6,8,8,9,9,9,9,9,9,9,9
Inception (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
La Vita è bella (1997),,,,,,,,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Le fabuleux destin d'Amélie Poulain (2001),,,,,,,,,,,,,,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Memento (2000),,,,,,,,,,,,,10,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
One Flew Over the Cuckoo's Nest (1975),,,,8,8,8,6,7,10,9,11,10,11,11,11,11,11,11,11,11,11,11,11,11,8,7,8,9,7,9,9,8,8,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Pulp Fiction (1994),3,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,10,8,5,5,5,6,5,5,5,5,5,5,4,4,4,4,5,5,5,7,7,7,7,7,8,8,8,8
Saving Private Ryan (1998),,,,,,,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Schindler's List (1993),7,10,11,3,4,4,4,4,3,4,3,3,6,7,6,4,7,5,6,6,6,6,7,6,6,6,7,6,6,7,7,7,7,7,8,8,8,7,8,6,6,5,6,6,6,6,6,6,6
Shichinin no samurai (1954),,,,,,,,,,,9,8,9,6,8,8,9,6,5,5,5,7,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Star Trek: First Contact (1996),,,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Star Wars (1977),1,1,1,2,2,2,3,3,7,7,8,7,8,9,9,9,10,10,10,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Star Wars: Episode V - The Empire Strikes Back (1980),,,,10,10,9,11,10,11,11,11,11,11,11,11,11,11,11,11,10,10,8,10,8,7,8,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
The Dark Knight (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,11,10,10,9,8,7,6,6,4,4,4,4,4,4,4,4,4,4,4,4
The English Patient (1996),,,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
The Godfather (1972),,,,4,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
The Godfather: Part II (1974),,,,,,,10,8,8,8,6,6,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
The Lord of the Rings: The Fellowship of the Ring (2001),,,,,,,,,,,,,1,3,4,5,8,9,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
The Lord of the Rings: The Return of the King (2003),,,,,,,,,,,,,,,,,4,3,2,3,4,4,4,10,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7
The Lord of the Rings: The Two Towers (2002),,,,,,,,,,,,,,,,10,5,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
The Shawshank Redemption (1994),2,3,3,1,1,1,1,1,4,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Usual Suspects (1995),5,5,7,7,7,7,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Toy Story (1995),6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Toy Story 3 (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Trainspotting (1996),,2,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
WALL·E (2008),,,,,,,,,,,,,,,,,,,,,,,,,,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Wallace & Gromit in The Wrong Trousers (1993),4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
