1996/4/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/11/19,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Casablanca (1942),A Close Shave (1995),Blade Runner (1982),Pulp Fiction (1994),Schindler's List (1993),
1997/1/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),
1997/9/12,The Shawshank Redemption (1994),Star Wars (1977),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),
1998/1/5,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),
1998/5/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1999/3/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Saving Private Ryan (1998),Citizen Kane (1941),The Usual Suspects (1995),The Godfather: Part II (1974),
1999/8/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Godfather: Part II (1974),La Vita è bella (1997),Star Wars: Episode V - The Empire Strikes Back (1980),
2000/1/30,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),One Flew Over the Cuckoo's Nest (1975),
2000/6/30,The Godfather (1972),American Beauty (1999),The Shawshank Redemption (1994),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/1/2,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),American Beauty (1999),Star Wars (1977),Shichinin no samurai (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/7/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),American Beauty (1999),One Flew Over the Cuckoo's Nest (1975),
2002/1/1,The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Shichinin no samurai (1954),Memento (2000),
2002/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather: Part II (1974),Citizen Kane (1941),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Le fabuleux destin d'Amélie Poulain (2001),
2003/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Casablanca (1942),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),The Lord of the Rings: The Two Towers (2002),
2004/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Return of the King (2003),The Lord of the Rings: The Two Towers (2002),Casablanca (1942),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Shichinin no samurai (1954),Star Wars (1977),
2004/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Return of the King (2003),The Godfather: Part II (1974),Schindler's List (1993),Shichinin no samurai (1954),Casablanca (1942),The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Fellowship of the Ring (2001),Star Wars (1977),
2005/1/1,The Godfather (1972),The Lord of the Rings: The Return of the King (2003),The Shawshank Redemption (1994),The Godfather: Part II (1974),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Two Towers (2002),Star Wars (1977),
2005/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Return of the King (2003),The Godfather: Part II (1974),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),Star Wars (1977),The Lord of the Rings: The Fellowship of the Ring (2001),Star Wars: Episode V - The Empire Strikes Back (1980),
2006/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Return of the King (2003),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),
2006/7/2,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Return of the King (2003),Casablanca (1942),Schindler's List (1993),Shichinin no samurai (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),
2007/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Return of the King (2003),Il Buono il brutto il cattivo. (1966),Casablanca (1942),Schindler's List (1993),Pulp Fiction (1994),Shichinin no samurai (1954),Star Wars: Episode V - The Empire Strikes Back (1980),
2007/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),Casablanca (1942),Star Wars: Episode V - The Empire Strikes Back (1980),Shichinin no samurai (1954),The Lord of the Rings: The Return of the King (2003),
2008/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),Star Wars: Episode V - The Empire Strikes Back (1980),One Flew Over the Cuckoo's Nest (1975),Casablanca (1942),Shichinin no samurai (1954),
2008/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),WALL·E (2008),Casablanca (1942),
2009/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),12 Angry Men (1957),
2009/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),The Dark Knight (2008),12 Angry Men (1957),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),
2010/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),12 Angry Men (1957),The Dark Knight (2008),Star Wars: Episode V - The Empire Strikes Back (1980),
2010/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Toy Story 3 (2010),Schindler's List (1993),12 Angry Men (1957),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),
2011/1/2,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),Inception (2010),Schindler's List (1993),12 Angry Men (1957),One Flew Over the Cuckoo's Nest (1975),The Dark Knight (2008),
2011/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),12 Angry Men (1957),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Inception (2010),The Dark Knight (2008),
2012/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Il Buono il brutto il cattivo. (1966),Pulp Fiction (1994),12 Angry Men (1957),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),The Dark Knight (2008),The Lord of the Rings: The Return of the King (2003),
2012/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),12 Angry Men (1957),Schindler's List (1993),The Dark Knight (2008),The Lord of the Rings: The Return of the King (2003),One Flew Over the Cuckoo's Nest (1975),
2013/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),12 Angry Men (1957),The Dark Knight (2008),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2013/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2014/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2014/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),Schindler's List (1993),12 Angry Men (1957),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2015/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2015/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),Pulp Fiction (1994),Schindler's List (1993),12 Angry Men (1957),Il Buono il brutto il cattivo. (1966),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2016/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),The Lord of the Rings: The Return of the King (2003),Fight Club (1999),
2016/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),Schindler's List (1993),12 Angry Men (1957),Pulp Fiction (1994),The Lord of the Rings: The Return of the King (2003),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2017/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),Pulp Fiction (1994),The Lord of the Rings: The Return of the King (2003),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2017/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),Pulp Fiction (1994),The Lord of the Rings: The Return of the King (2003),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2018/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),Pulp Fiction (1994),The Lord of the Rings: The Return of the King (2003),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2018/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2019/1/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2019/7/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
2019/12/1,The Shawshank Redemption (1994),The Godfather (1972),The Godfather: Part II (1974),The Dark Knight (2008),12 Angry Men (1957),Schindler's List (1993),The Lord of the Rings: The Return of the King (2003),Pulp Fiction (1994),Il Buono il brutto il cattivo. (1966),Fight Club (1999),
